grupo,n_contribuyentes,perct_recepcion_extra,recepcion_extragrupo,perct_emision_extra,emision_intragrupo,emision_extragrupo,tasa_emision_intra_extra
1160,4,20.682955711865382,3291653306.0,39.21664614038333,12623157671.0,8144300637.0,1.5499375862492488
3062,4,99.43013533674444,6584328643.0,39.37907846292062,37736811.0,24513663.0,1.5394195065829208
3083,3,18.236008914261653,195106230.0,39.736084916743806,874789222.0,576807842.0,1.51660424547418
1274,3,86.9995768365912,4242075145.0,39.7372004602358,633897014.0,417990749.0,1.5165335967758464
2895,40,54.19351792278885,8861446736.0,40.37502757414791,7490041552.0,5071878810.0,1.4767784942400861
475,7,90.69988319739801,2519324161.0,40.661097398612704,258324577.0,177013061.0,1.459353199931388
2030,3,22.575809602042757,221511174.0,40.924682837419184,759677000.0,526269545.0,1.4435131335597235
37,3,62.04071238753108,2146002254.0,41.4336631520382,1313020332.0,928916594.0,1.41349647587413
2208,7,85.4420244047078,2713652981.0,41.625604337109294,462363739.0,329702258.0,1.402367523367098
2076,2,81.86833333306409,14712203483.0,41.8913551414009,3258363260.0,2349000787.0,1.3871273598683558
1271,11,70.3958786209996,6991288329.0,41.97830431456826,2940100363.0,2127142723.0,1.3821829307501525
3222,7,31.41899469894909,45581100796.0,41.991410714197094,99493880860.0,72021893071.0,1.3814394015152838
489,33,79.3826175571743,41117188092.0,42.21448061844971,10679022914.0,7801425178.0,1.3688553912065733
664,36,49.090931478728486,193519756051.0,42.22086584103281,200686974646.0,146647712118.0,1.368497140170297
1038,3,16.247169828770637,76629331.0,42.563757366512675,395017927.0,292732366.0,1.349416644280462
2913,2,93.22370002694984,531997487.0,42.776724693090515,38670151.0,28907510.0,1.3377198866315363
583,14,83.5289284407947,63101772150.0,43.05521267511288,12443040082.0,9408020685.0,1.3225991415855396
801,4,39.552311351553605,2295518018.0,43.36620000213325,3508233873.0,2686359944.0,1.305943338246857
2993,3,14.87263598817603,4244872836.0,43.636334106935216,24296623368.0,18810266475.0,1.291668217475372
2631,32,48.346469687843054,31276668809.0,44.12713305045922,33416097821.0,26391282121.0,1.2661794022659563
858,2,95.10874387509973,384668143.0,44.37098502756659,19782728.0,15779160.0,1.253725039862705
1303,4,7.518653190879354,9322383353.0,44.44579315551812,114667686628.0,91739160200.0,1.2499317235738114
2075,2,20.266898019230535,244070726.0,44.73274845986228,960211872.0,777185674.0,1.2354986769866785
1637,3,40.396960229016784,642139720.0,45.02866000453815,947434635.0,776071896.0,1.2208078141770515
3206,4,21.942900380199394,8114955509.0,45.42815539966582,28867190736.0,24030399491.0,1.2012780206509468
2026,3,55.610523432517546,164995724.0,45.46463876350126,131703019.0,109797204.0,1.1995115922988349
2648,2,97.24412841401717,575577025.0,45.79222685383057,16311693.0,13779366.0,1.1837767427035468
1912,9,96.16156181305075,40241193940.0,45.829972900620085,1606289796.0,1358984327.0,1.1819781612536582
1121,10,33.771940376297884,9402619410.0,45.834940329032506,18438894300.0,15603151277.0,1.1817416861925871
2844,3,4.1257329100428635,145277997.0,45.852158701962615,3375987198.0,2858771413.0,1.1809223999680454
2653,34,63.487652671381234,10762916883.0,45.85753915989278,6189854924.0,5242678485.0,1.1806665126824003
1042,3,55.650754578943484,2002651789.0,46.32720076054541,1595954922.0,1377534340.0,1.15855908318046
110,2,36.1418001089567,912482704.0,46.624646391685495,1612246837.0,1408336125.0,1.1447883842360431
1018,31,29.17471039288965,12783391957.0,46.81770375457907,31033296486.0,27319386036.0,1.1359441403663322
151,4,90.58492878067341,8407300503.0,47.169570648888524,873824532.0,780192940.0,1.1200108168115441
807,25,66.31774057151729,15441624562.0,47.46929745975119,7842679802.0,7087026870.0,1.1066248154354748
2206,3,19.090007948188813,478343212.0,47.56730154608091,2027382366.0,1839255106.0,1.1022844842927406
1785,11,49.11559956841713,10730637672.0,47.63993728331648,11117080296.0,10114904005.0,1.09907916975827
3269,4,60.820484272272154,16545757924.0,47.787756208634484,10658494265.0,9755288961.0,1.0925862173443415
194,33,83.77429191305949,31462506394.0,47.94146661055179,6093772120.0,5611844084.0,1.0858769468264506
2995,5,32.32244637503896,359986136.0,48.01321323449441,753748053.0,696135850.0,1.082760000077571
1208,5,32.80032785476716,1922347189.0,48.12917859117882,3938408830.0,3654316180.0,1.0777416720410875
3063,12,54.5381558774155,9099212137.0,48.168105709652366,7584909265.0,7048762471.0,1.0760625423548904
3137,6,31.58950525497803,1573972255.0,48.90362254825328,3408607378.0,3262330070.0,1.0448382919144659
1880,3,88.56866071149734,117298159.0,49.578389605559096,15139385.0,14886203.0,1.0170078293302867
1516,50,84.66009667724317,3173147228.0,49.67791889643272,574955305.0,567595425.0,1.012966771182132
2113,4,10.169777259643045,374309252.0,49.86973249711299,3306294978.0,3289111635.0,1.0052243112751629
2153,4,44.9641083296051,981155369.0,49.91191666255654,1200930311.0,1196706474.0,1.0035295513910623
